sf__Id,sf__Error,External_Id__c,Site_ID_by_Customer__c,Name,Site_Name_by_Customer__c,Account__c,sitetracker__Site_Status__c
"Site Names must be unique.  Please choose another name.:Name --""",713371660.0,50132245SNHZ022,遂宁蓬溪鸣凤中心大楼-E5H,50132245SNHZ022-遂宁蓬溪鸣凤中心大楼-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713378396.0,50132245SNHZ029,遂宁蓬溪荷叶街村-E5H,50132245SNHZ029-遂宁蓬溪荷叶街村-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713378495.0,50132245SNHZ031,遂宁蓬溪新会会宇坝-E5H,50132245SNHZ031-遂宁蓬溪新会会宇坝-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713378780.0,50132245SNHZ002,遂宁射洪广兴邮政支局-E5H,50132245SNHZ002-遂宁射洪广兴邮政支局-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713378992.0,50132245SNHZ024,遂宁船山唐家乡中心大楼-E5H,50132245SNHZ024-遂宁船山唐家乡中心大楼-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713378994.0,50132245SNHZ007,遂宁射洪明星自来水厂-E5H,50132245SNHZ007-遂宁射洪明星自来水厂-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713379247.0,50132245SNHZ025,遂宁蓬溪明月-E5H,50132245SNHZ025-遂宁蓬溪明月-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713379266.0,50132245SNHZ006,遂宁蓬溪任隆中学后山-E5H,50132245SNHZ006-遂宁蓬溪任隆中学后山-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713379289.0,50132245SNHZ014,遂宁蓬溪常乐镇安保中心后山-E5H,50132245SNHZ014-遂宁蓬溪常乐镇安保中心后山-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713379293.0,50132245SNHZ008,遂宁射洪瞿河乡中心大楼-E5H,50132245SNHZ008-遂宁射洪瞿河乡中心大楼-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713388362.0,50132245SNHZ004,遂宁射洪曹碑镇补点-E5H,50132245SNHZ004-遂宁射洪曹碑镇补点-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713388371.0,50132245SNHZ003,遂宁射洪仁和场镇-E5H,50132245SNHZ003-遂宁射洪仁和场镇-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713388506.0,50132245SNHZ009,遂宁蓬溪大石正街-E5H,50132245SNHZ009-遂宁蓬溪大石正街-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713488195.0,50132245SNHZ017,遂宁船山老池乡中心大楼-E5H,50132245SNHZ017-遂宁船山老池乡中心大楼-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713488204.0,50132245SNHZ010,遂宁船山保升乡中心大楼后山-E5H,50132245SNHZ010-遂宁船山保升乡中心大楼后山-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
