sf__Id,sf__Error,External_Id__c,Site_ID_by_Customer__c,Name,Site_Name_by_Customer__c,Account__c,sitetracker__Site_Status__c
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",653600474,65040998sn002,遂宁船山建安安置小区-E5H,65040998sn002-遂宁船山建安安置小区-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",653600474,65040998sn002,遂宁船山建安安置小区-E5H,65040998sn002-遂宁船山建安安置小区-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",653600474,65040998sn002,遂宁船山建安安置小区-E5H,65040998sn002-遂宁船山建安安置小区-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",653600474,65040998sn002,遂宁船山建安安置小区-E5H,65040998sn002-遂宁船山建安安置小区-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",653600474,65040998sn002,遂宁船山建安安置小区-E5H,65040998sn002-遂宁船山建安安置小区-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",653600520,65040998sn001,遂宁船山富源实验小学-E5H,65040998sn001-遂宁船山富源实验小学-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713363189,50132245SNHZ030,遂宁大英隆盛中心大楼后山-E5H,50132245SNHZ030-遂宁大英隆盛中心大楼后山-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713363236,50132245SNHZ001,遂宁蓬溪天福镇安保中心-E5H,50132245SNHZ001-遂宁蓬溪天福镇安保中心-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713363489,50132245SNHZ020,遂宁射洪太乙小学-E5H,50132245SNHZ020-遂宁射洪太乙小学-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713364139,50132245SNHZ021,遂宁安居分水魏家沟-E5H,50132245SNHZ021-遂宁安居分水魏家沟-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713370758,50132245SNHZ028,遂宁蓬溪高升正街-E5H,50132245SNHZ028-遂宁蓬溪高升正街-E5H,0010w000011s3IzAAI,Active,
